Equipment Name,Equipment ID,Criticality level,Task Id,Task Description,Start date,End Date,Duration,Maintenance cost
Wellhead,EQP-1077,High,TASK-72899,Leak test,2023-09-17,2023-09-21,4,1746.08
Mud Motor,EQP-1079,Low,TASK-14462,Leak test,2023-07-05,2023-07-11,6,1151.09
Choke Valve,EQP-1082,Medium,TASK-95338,Pressure test,2023-02-19,2023-02-24,5,4187.07
Heat Exchanger,EQP-1003,High,TASK-92338,Leak test,2023-11-09,2023-11-14,5,4029.52
Drill Bit,EQP-1083,High,TASK-29997,Calibration,2023-03-20,2023-03-23,3,5371.83
Drill Bit,EQP-1013,Medium,TASK-61992,Seal replacement,2024-07-29,2024-08-06,8,5286.23
Gas Lift Valve,EQP-1035,High,TASK-63426,Seal replacement,2023-10-25,2023-11-02,8,9399.96
Mud Motor,EQP-1032,Medium,TASK-29451,Leak test,2024-10-21,2024-10-30,9,5936.06
Blowout Preventer,EQP-1054,Low,TASK-25037,Routine inspection,2024-10-09,2024-10-17,8,7687.04
Gas Lift Valve,EQP-1001,Low,TASK-96842,Seal replacement,2025-01-26,2025-01-27,1,8312.53
Compressor,EQP-1011,Low,TASK-87434,Filter change,2023-05-30,2023-06-03,4,9948.83
Casing Pipe,EQP-1010,High,TASK-69553,Routine inspection,2024-11-22,2024-11-25,3,3702.68
Drill Bit,EQP-1067,High,TASK-76030,Seal replacement,2024-08-01,2024-08-03,2,1621.96
Choke Valve,EQP-1035,Low,TASK-79559,Valve check,2025-02-08,2025-02-15,7,3431.1
Blowout Preventer,EQP-1094,Low,TASK-28761,Leak test,2024-05-20,2024-05-29,9,3161.59
Coiled Tubing Unit,EQP-1042,Low,TASK-75360,Seal replacement,2024-10-23,2024-10-29,6,6282.96
Oil Pump,EQP-1048,Low,TASK-49717,Routine inspection,2023-10-15,2023-10-24,9,6407.33
Choke Valve,EQP-1083,High,TASK-93473,Valve check,2023-08-16,2023-08-20,4,3167.02
Coiled Tubing Unit,EQP-1039,High,TASK-91873,Leak test,2024-12-24,2024-12-27,3,6263.55
Blowout Preventer,EQP-1043,Low,TASK-41843,Routine inspection,2024-01-28,2024-02-01,4,1112.89
Oil Pump,EQP-1088,Low,TASK-92124,Pressure test,2024-09-21,2024-09-24,3,1923.25
Gas Lift Valve,EQP-1035,Low,TASK-25751,Leak test,2024-03-15,2024-03-22,7,9591.06
Compressor,EQP-1087,Low,TASK-75227,Overhaul,2024-10-12,2024-10-16,4,5516.06
Drill Bit,EQP-1099,Medium,TASK-89244,Seal replacement,2024-05-22,2024-05-27,5,819.4
Gas Lift Valve,EQP-1001,High,TASK-89872,Sensor replacement,2024-01-29,2024-01-30,1,3010.41
Separator,EQP-1000,Low,TASK-78853,Lubrication,2024-06-08,2024-06-12,4,530.78
Gas Lift Valve,EQP-1018,Medium,TASK-64138,Routine inspection,2023-07-17,2023-07-26,9,4824.12
Heat Exchanger,EQP-1023,High,TASK-64838,Filter change,2023-07-03,2023-07-07,4,9812.12
Heat Exchanger,EQP-1029,High,TASK-29909,Routine inspection,2024-12-27,2025-01-04,8,9781.25
Drill Bit,EQP-1065,Low,TASK-91494,Routine inspection,2023-02-20,2023-03-01,9,8255.46
Gas Lift Valve,EQP-1069,Medium,TASK-10941,Valve check,2023-10-22,2023-10-30,8,7288.3
Choke Valve,EQP-1019,High,TASK-15559,Lubrication,2024-11-10,2024-11-20,10,2600.2
Casing Pipe,EQP-1064,Low,TASK-67590,Leak test,2024-04-14,2024-04-15,1,4234.98
Oil Pump,EQP-1067,High,TASK-32152,Overhaul,2024-05-15,2024-05-22,7,6739.25
Oil Pump,EQP-1066,Medium,TASK-88226,Leak test,2023-03-11,2023-03-18,7,6662.61
Compressor,EQP-1036,Medium,TASK-32584,Leak test,2025-01-27,2025-02-06,10,6417.14
Heat Exchanger,EQP-1053,Low,TASK-42433,Valve check,2023-10-07,2023-10-14,7,8805.75
Gas Lift Valve,EQP-1045,Low,TASK-15639,Seal replacement,2024-01-22,2024-01-29,7,9255.21
Casing Pipe,EQP-1061,High,TASK-93623,Seal replacement,2024-11-07,2024-11-16,9,1338.17
Oil Pump,EQP-1009,High,TASK-13345,Overhaul,2023-01-14,2023-01-18,4,6795.5
Production Tubing,EQP-1000,Medium,TASK-67513,Sensor replacement,2024-07-04,2024-07-05,1,3982.9
Gas Lift Valve,EQP-1008,High,TASK-24180,Pressure test,2023-03-20,2023-03-30,10,5121.03
Blowout Preventer,EQP-1059,Medium,TASK-65694,Seal replacement,2023-05-31,2023-06-10,10,9334.36
Mud Motor,EQP-1059,High,TASK-78099,Routine inspection,2024-08-20,2024-08-28,8,3876.85
Gas Lift Valve,EQP-1002,High,TASK-83375,Valve check,2023-03-05,2023-03-08,3,1658.65
Separator,EQP-1080,High,TASK-41050,Pressure test,2024-08-01,2024-08-08,7,7364.1
Blowout Preventer,EQP-1052,High,TASK-64420,Lubrication,2023-04-02,2023-04-09,7,5195.1
Blowout Preventer,EQP-1017,Low,TASK-16089,Pressure test,2023-12-10,2023-12-11,1,3188.7
Desander,EQP-1009,High,TASK-69782,Calibration,2024-10-19,2024-10-24,5,9830.95
Compressor,EQP-1096,Low,TASK-21296,Seal replacement,2023-12-02,2023-12-12,10,7864.67
Drill Bit,EQP-1012,Medium,TASK-10662,Calibration,2023-11-23,2023-11-27,4,5557.75
Mud Motor,EQP-1016,High,TASK-63953,Overhaul,2024-03-25,2024-03-29,4,9247.04
Choke Valve,EQP-1070,High,TASK-22775,Overhaul,2023-08-05,2023-08-09,4,9941.35
Compressor,EQP-1006,Medium,TASK-39495,Calibration,2023-06-27,2023-06-28,1,9769.56
Desander,EQP-1057,Medium,TASK-69158,Sensor replacement,2024-07-05,2024-07-14,9,4278.89
Storage Tank,EQP-1002,Medium,TASK-77050,Overhaul,2023-09-27,2023-09-30,3,9303.49
Blowout Preventer,EQP-1065,Low,TASK-75726,Pressure test,2024-07-11,2024-07-15,4,2001.35
Choke Valve,EQP-1049,Low,TASK-37767,Sensor replacement,2023-06-08,2023-06-16,8,9521.87
Coiled Tubing Unit,EQP-1022,Medium,TASK-23355,Lubrication,2025-01-05,2025-01-13,8,3420.21
Drill Bit,EQP-1060,High,TASK-11106,Seal replacement,2024-08-29,2024-09-06,8,2331.28
Drill Bit,EQP-1050,Low,TASK-90256,Leak test,2024-02-14,2024-02-21,7,8318.69
Drill Bit,EQP-1013,Low,TASK-43390,Valve check,2024-10-20,2024-10-25,5,8453.01
Coiled Tubing Unit,EQP-1016,High,TASK-12866,Valve check,2025-01-15,2025-01-24,9,4835.12
Heat Exchanger,EQP-1076,High,TASK-94090,Filter change,2023-01-07,2023-01-10,3,3055.15
Coiled Tubing Unit,EQP-1039,High,TASK-32293,Routine inspection,2023-05-21,2023-05-27,6,3962.35
Heat Exchanger,EQP-1081,Low,TASK-93136,Sensor replacement,2023-06-12,2023-06-22,10,5160.66
Blowout Preventer,EQP-1037,High,TASK-68736,Lubrication,2023-09-10,2023-09-12,2,5720.14
Oil Pump,EQP-1013,Medium,TASK-39103,Routine inspection,2024-04-05,2024-04-09,4,8419.56
Oil Pump,EQP-1059,Medium,TASK-51679,Lubrication,2024-03-12,2024-03-22,10,8902.29
Mud Motor,EQP-1009,Low,TASK-35791,Leak test,2023-04-30,2023-05-01,1,8945.67
Choke Valve,EQP-1034,Medium,TASK-92827,Leak test,2023-03-06,2023-03-11,5,1126.94
Choke Valve,EQP-1015,High,TASK-76844,Valve check,2024-03-08,2024-03-18,10,9525.18
Blowout Preventer,EQP-1012,High,TASK-96521,Lubrication,2024-04-16,2024-04-20,4,2468.0
Mud Motor,EQP-1027,Low,TASK-73280,Pressure test,2023-02-20,2023-02-23,3,9406.91
Casing Pipe,EQP-1017,Medium,TASK-71625,Calibration,2024-09-08,2024-09-13,5,2553.38
Choke Valve,EQP-1062,High,TASK-85128,Calibration,2023-06-14,2023-06-19,5,5077.37
Separator,EQP-1014,Medium,TASK-13891,Pressure test,2023-12-09,2023-12-10,1,7823.05
Heat Exchanger,EQP-1012,Medium,TASK-77792,Seal replacement,2024-05-01,2024-05-11,10,3564.35
Separator,EQP-1074,Low,TASK-69907,Valve check,2024-01-24,2024-01-30,6,6778.28
Gas Lift Valve,EQP-1057,Low,TASK-60303,Routine inspection,2024-06-16,2024-06-24,8,2564.1
Wellhead,EQP-1094,Medium,TASK-20150,Overhaul,2024-05-13,2024-05-19,6,5079.18
Oil Pump,EQP-1079,High,TASK-28501,Lubrication,2024-02-27,2024-03-04,6,6749.94
Casing Pipe,EQP-1077,High,TASK-55035,Filter change,2024-03-12,2024-03-18,6,8734.85
Choke Valve,EQP-1001,High,TASK-57864,Sensor replacement,2023-03-31,2023-04-05,5,6424.42
Desander,EQP-1002,High,TASK-39028,Leak test,2023-05-15,2023-05-25,10,7422.06
Coiled Tubing Unit,EQP-1070,High,TASK-51969,Sensor replacement,2024-12-05,2024-12-15,10,8373.78
Separator,EQP-1033,Medium,TASK-91695,Valve check,2024-11-18,2024-11-22,4,7242.64
Drill Bit,EQP-1069,Low,TASK-64053,Calibration,2023-01-11,2023-01-15,4,8944.38
Mud Motor,EQP-1033,Low,TASK-43258,Valve check,2023-04-10,2023-04-18,8,1983.57
Compressor,EQP-1019,Medium,TASK-19860,Seal replacement,2023-11-11,2023-11-13,2,638.58
Heat Exchanger,EQP-1021,Low,TASK-76912,Overhaul,2024-10-23,2024-10-30,7,5625.68
Desander,EQP-1047,Low,TASK-85993,Overhaul,2023-03-22,2023-03-26,4,2663.17
Desander,EQP-1008,Medium,TASK-22100,Filter change,2024-01-29,2024-02-05,7,6282.97
Casing Pipe,EQP-1077,Low,TASK-79769,Routine inspection,2024-06-23,2024-06-27,4,7633.25
Choke Valve,EQP-1052,Medium,TASK-63594,Valve check,2023-06-02,2023-06-11,9,3699.84
Desander,EQP-1072,Medium,TASK-75072,Filter change,2023-09-06,2023-09-09,3,5915.83
Production Tubing,EQP-1085,Medium,TASK-27843,Lubrication,2024-04-26,2024-05-06,10,3792.95
Casing Pipe,EQP-1096,Low,TASK-38697,Lubrication,2025-01-11,2025-01-14,3,5455.96
Storage Tank,EQP-1094,Low,TASK-22967,Overhaul,2024-02-22,2024-02-26,4,7247.26
Production Tubing,EQP-1040,Medium,TASK-17943,Leak test,2024-12-02,2024-12-08,6,4853.67
Production Tubing,EQP-1067,Medium,TASK-46896,Leak test,2023-08-15,2023-08-25,10,7298.15
Drill Bit,EQP-1081,Medium,TASK-86275,Overhaul,2024-06-01,2024-06-03,2,4694.02
Separator,EQP-1013,Low,TASK-46187,Seal replacement,2023-02-11,2023-02-16,5,2892.38
Heat Exchanger,EQP-1018,Medium,TASK-40050,Leak test,2023-08-11,2023-08-12,1,3232.67
Coiled Tubing Unit,EQP-1047,High,TASK-46142,Filter change,2023-01-29,2023-02-01,3,4769.02
Blowout Preventer,EQP-1046,High,TASK-68815,Leak test,2023-01-15,2023-01-16,1,4647.71
Casing Pipe,EQP-1018,Low,TASK-32915,Filter change,2024-08-10,2024-08-16,6,7304.45
Separator,EQP-1071,Medium,TASK-98464,Overhaul,2025-01-18,2025-01-22,4,3071.49
Mud Motor,EQP-1018,High,TASK-58606,Valve check,2024-06-15,2024-06-19,4,6092.41
Heat Exchanger,EQP-1088,Medium,TASK-47022,Routine inspection,2024-01-05,2024-01-09,4,2508.26
Wellhead,EQP-1075,Low,TASK-74315,Lubrication,2023-02-11,2023-02-20,9,5321.88
Desander,EQP-1045,High,TASK-24683,Filter change,2024-12-27,2024-12-29,2,5132.79
Mud Motor,EQP-1069,High,TASK-54870,Filter change,2024-01-19,2024-01-23,4,5249.41
Gas Lift Valve,EQP-1009,High,TASK-54976,Seal replacement,2025-01-17,2025-01-23,6,8394.48
Choke Valve,EQP-1001,High,TASK-21037,Valve check,2023-08-08,2023-08-18,10,8041.31
Compressor,EQP-1038,High,TASK-62969,Sensor replacement,2023-08-03,2023-08-13,10,5816.74
Gas Lift Valve,EQP-1020,Low,TASK-25926,Pressure test,2024-06-04,2024-06-14,10,6977.05
Mud Motor,EQP-1094,High,TASK-24659,Overhaul,2023-10-04,2023-10-08,4,1273.56
Oil Pump,EQP-1026,Low,TASK-71685,Routine inspection,2023-01-03,2023-01-08,5,4514.18
Oil Pump,EQP-1040,Low,TASK-37103,Leak test,2023-06-18,2023-06-27,9,1398.39
Choke Valve,EQP-1039,Medium,TASK-34882,Lubrication,2023-12-17,2023-12-19,2,4984.8
Drill Bit,EQP-1098,Medium,TASK-98010,Sensor replacement,2023-08-17,2023-08-23,6,5184.3
Blowout Preventer,EQP-1015,Low,TASK-51494,Seal replacement,2023-12-13,2023-12-15,2,6832.33
Heat Exchanger,EQP-1093,Low,TASK-93211,Sensor replacement,2024-06-28,2024-07-06,8,1357.71
Desander,EQP-1002,High,TASK-47726,Routine inspection,2025-01-19,2025-01-21,2,688.45
Oil Pump,EQP-1087,High,TASK-70940,Sensor replacement,2023-01-10,2023-01-17,7,723.27
Separator,EQP-1059,High,TASK-58178,Filter change,2025-01-19,2025-01-20,1,6228.36
Storage Tank,EQP-1033,Low,TASK-65780,Sensor replacement,2023-07-26,2023-07-30,4,8869.31
Gas Lift Valve,EQP-1031,Low,TASK-73544,Lubrication,2024-01-09,2024-01-15,6,8173.88
Storage Tank,EQP-1006,Medium,TASK-16156,Lubrication,2025-02-21,2025-02-23,2,4408.82
Heat Exchanger,EQP-1028,Low,TASK-83630,Seal replacement,2024-03-04,2024-03-05,1,8225.59
Production Tubing,EQP-1034,Low,TASK-10185,Lubrication,2023-10-27,2023-11-05,9,9983.92
Casing Pipe,EQP-1080,Medium,TASK-82338,Pressure test,2023-04-10,2023-04-20,10,589.41
Mud Motor,EQP-1088,Low,TASK-63427,Calibration,2024-06-22,2024-06-29,7,1128.76
Gas Lift Valve,EQP-1092,Low,TASK-98621,Valve check,2023-10-08,2023-10-16,8,7571.79
Desander,EQP-1065,Medium,TASK-40352,Valve check,2024-03-29,2024-04-04,6,3801.38
Oil Pump,EQP-1078,High,TASK-22885,Seal replacement,2024-09-24,2024-09-28,4,1349.96
Drill Bit,EQP-1059,Low,TASK-21098,Routine inspection,2023-11-25,2023-12-02,7,9815.75
Casing Pipe,EQP-1076,High,TASK-90590,Valve check,2023-10-19,2023-10-29,10,2060.04
Desander,EQP-1057,High,TASK-99691,Routine inspection,2023-09-20,2023-09-24,4,6725.21
Storage Tank,EQP-1039,Low,TASK-91282,Filter change,2024-06-14,2024-06-22,8,877.04
Coiled Tubing Unit,EQP-1026,Low,TASK-28930,Seal replacement,2023-04-12,2023-04-14,2,7682.48
Separator,EQP-1031,Medium,TASK-67462,Leak test,2023-12-16,2023-12-25,9,9717.89
Casing Pipe,EQP-1055,High,TASK-92481,Overhaul,2023-03-10,2023-03-12,2,7516.23
Mud Motor,EQP-1034,High,TASK-97906,Sensor replacement,2024-06-07,2024-06-15,8,5649.46
Desander,EQP-1052,High,TASK-43667,Sensor replacement,2023-10-25,2023-11-04,10,6409.5
Choke Valve,EQP-1014,Low,TASK-69748,Lubrication,2025-03-02,2025-03-08,6,814.43
Desander,EQP-1034,Medium,TASK-98155,Calibration,2023-11-16,2023-11-20,4,1535.12
Separator,EQP-1072,Low,TASK-32405,Valve check,2023-10-21,2023-10-28,7,5297.42
Storage Tank,EQP-1078,Low,TASK-76044,Seal replacement,2025-03-09,2025-03-11,2,2943.83
Oil Pump,EQP-1076,Low,TASK-94497,Leak test,2023-02-14,2023-02-24,10,610.98
Drill Bit,EQP-1054,Medium,TASK-41690,Valve check,2023-02-02,2023-02-04,2,9883.59
Blowout Preventer,EQP-1038,Medium,TASK-63281,Calibration,2024-02-23,2024-02-26,3,8324.23
Drill Bit,EQP-1027,Low,TASK-11932,Pressure test,2023-07-08,2023-07-14,6,9821.53
Compressor,EQP-1080,Low,TASK-24520,Overhaul,2024-12-12,2024-12-21,9,8895.41
Drill Bit,EQP-1089,Low,TASK-28918,Lubrication,2023-11-15,2023-11-17,2,7895.69
Gas Lift Valve,EQP-1008,High,TASK-51326,Sensor replacement,2023-02-06,2023-02-11,5,4308.15
Production Tubing,EQP-1092,High,TASK-38566,Calibration,2024-04-07,2024-04-10,3,5660.01
Drill Bit,EQP-1084,High,TASK-13378,Lubrication,2023-03-29,2023-04-08,10,8357.69
Gas Lift Valve,EQP-1031,High,TASK-23716,Lubrication,2024-12-13,2024-12-21,8,4389.62
Desander,EQP-1079,Medium,TASK-33751,Calibration,2023-04-12,2023-04-19,7,8610.82
Choke Valve,EQP-1003,High,TASK-51110,Leak test,2025-03-01,2025-03-04,3,3534.77
Desander,EQP-1001,High,TASK-52672,Valve check,2023-09-11,2023-09-16,5,911.87
Blowout Preventer,EQP-1084,Low,TASK-28580,Seal replacement,2025-02-26,2025-03-08,10,6463.04
Production Tubing,EQP-1077,High,TASK-10364,Lubrication,2024-02-23,2024-02-28,5,2597.58
Oil Pump,EQP-1003,Low,TASK-78284,Pressure test,2023-07-10,2023-07-15,5,4827.69
Storage Tank,EQP-1022,High,TASK-10699,Sensor replacement,2025-03-03,2025-03-06,3,4775.94
Compressor,EQP-1081,Low,TASK-73790,Valve check,2024-12-30,2024-12-31,1,5115.56
Production Tubing,EQP-1011,High,TASK-95214,Calibration,2024-12-24,2024-12-27,3,1131.76
Blowout Preventer,EQP-1058,Medium,TASK-74857,Leak test,2024-09-20,2024-09-29,9,2487.94
Compressor,EQP-1099,Low,TASK-36572,Valve check,2023-08-04,2023-08-06,2,8189.85
Blowout Preventer,EQP-1054,Low,TASK-27459,Filter change,2023-08-12,2023-08-18,6,9265.75
Desander,EQP-1069,Low,TASK-78704,Routine inspection,2024-10-10,2024-10-18,8,9770.92
Coiled Tubing Unit,EQP-1035,High,TASK-40551,Pressure test,2023-12-04,2023-12-11,7,7596.88
Gas Lift Valve,EQP-1033,Low,TASK-91948,Calibration,2023-10-28,2023-10-30,2,6213.96
Wellhead,EQP-1075,Medium,TASK-36361,Leak test,2024-08-22,2024-09-01,10,3331.5
Oil Pump,EQP-1008,Low,TASK-25045,Calibration,2024-04-21,2024-04-23,2,4891.4
Wellhead,EQP-1066,High,TASK-80346,Routine inspection,2023-03-02,2023-03-03,1,3896.31
Drill Bit,EQP-1099,Low,TASK-29964,Filter change,2023-02-10,2023-02-18,8,5572.07
Drill Bit,EQP-1022,Medium,TASK-41511,Seal replacement,2023-02-07,2023-02-16,9,1604.34
Oil Pump,EQP-1001,Low,TASK-97914,Filter change,2023-05-16,2023-05-23,7,1168.98
Wellhead,EQP-1022,Low,TASK-85706,Overhaul,2025-02-24,2025-03-01,5,4207.92
Separator,EQP-1032,High,TASK-47458,Valve check,2024-04-30,2024-05-02,2,5473.71
Storage Tank,EQP-1065,Low,TASK-97921,Leak test,2024-04-01,2024-04-04,3,7819.16
Drill Bit,EQP-1044,Medium,TASK-67028,Overhaul,2024-06-23,2024-07-01,8,2850.1
Casing Pipe,EQP-1043,High,TASK-47671,Filter change,2023-08-15,2023-08-22,7,2883.47
Gas Lift Valve,EQP-1075,Medium,TASK-37166,Seal replacement,2024-07-31,2024-08-07,7,3715.55
Drill Bit,EQP-1079,High,TASK-88703,Seal replacement,2023-09-16,2023-09-18,2,8122.51
Wellhead,EQP-1077,Low,TASK-61312,Sensor replacement,2024-12-22,2024-12-28,6,2109.69
Blowout Preventer,EQP-1069,High,TASK-13266,Overhaul,2023-10-17,2023-10-22,5,2526.18
Blowout Preventer,EQP-1046,Medium,TASK-75563,Seal replacement,2024-04-22,2024-05-01,9,6455.55
Coiled Tubing Unit,EQP-1031,Low,TASK-35400,Routine inspection,2024-04-09,2024-04-16,7,5495.41
Wellhead,EQP-1055,Medium,TASK-90518,Leak test,2023-11-03,2023-11-07,4,1515.15
Choke Valve,EQP-1012,Low,TASK-27607,Valve check,2023-02-06,2023-02-14,8,1189.61
Oil Pump,EQP-1021,Low,TASK-53665,Overhaul,2025-01-22,2025-01-24,2,1460.15
Heat Exchanger,EQP-1007,Medium,TASK-95957,Lubrication,2023-05-03,2023-05-10,7,1955.83
Blowout Preventer,EQP-1097,High,TASK-77107,Calibration,2024-11-07,2024-11-09,2,4720.52
Separator,EQP-1006,High,TASK-15753,Calibration,2024-10-27,2024-10-29,2,2894.54
Casing Pipe,EQP-1027,Low,TASK-20920,Pressure test,2024-09-05,2024-09-13,8,6148.71
Blowout Preventer,EQP-1000,Low,TASK-71923,Sensor replacement,2023-12-02,2023-12-11,9,2827.02
Gas Lift Valve,EQP-1066,Medium,TASK-95055,Seal replacement,2024-08-28,2024-09-02,5,867.53
Mud Motor,EQP-1071,Low,TASK-96712,Valve check,2023-07-27,2023-08-06,10,3722.2
Mud Motor,EQP-1002,Low,TASK-92583,Routine inspection,2024-11-12,2024-11-21,9,7393.04
Separator,EQP-1093,Low,TASK-53685,Lubrication,2023-04-09,2023-04-10,1,7248.11
Separator,EQP-1087,Low,TASK-82831,Filter change,2024-03-25,2024-03-28,3,7241.46
Wellhead,EQP-1066,Low,TASK-18707,Sensor replacement,2023-12-01,2023-12-08,7,1195.36
Casing Pipe,EQP-1048,Low,TASK-78477,Lubrication,2024-03-01,2024-03-03,2,2933.29
Blowout Preventer,EQP-1045,High,TASK-68566,Routine inspection,2023-09-25,2023-09-29,4,7062.96
Gas Lift Valve,EQP-1069,Low,TASK-86778,Calibration,2023-06-07,2023-06-15,8,6136.86
Heat Exchanger,EQP-1000,Low,TASK-22803,Filter change,2024-05-12,2024-05-17,5,8016.02
Storage Tank,EQP-1024,High,TASK-70774,Seal replacement,2024-07-18,2024-07-22,4,2721.78
Separator,EQP-1009,Low,TASK-84495,Sensor replacement,2023-06-11,2023-06-14,3,5616.72
Wellhead,EQP-1061,Medium,TASK-69506,Routine inspection,2024-11-15,2024-11-21,6,4734.39
Casing Pipe,EQP-1047,High,TASK-35615,Filter change,2024-08-20,2024-08-26,6,4616.38
Choke Valve,EQP-1038,High,TASK-64197,Filter change,2023-12-14,2023-12-15,1,1880.07
Wellhead,EQP-1057,Medium,TASK-59070,Lubrication,2024-07-06,2024-07-13,7,552.38
Compressor,EQP-1045,Medium,TASK-99755,Pressure test,2024-02-04,2024-02-13,9,9639.64
Desander,EQP-1095,Medium,TASK-52512,Leak test,2024-06-24,2024-06-28,4,5112.97
Drill Bit,EQP-1094,Low,TASK-46866,Calibration,2023-03-09,2023-03-12,3,8574.49
Production Tubing,EQP-1084,Low,TASK-17361,Leak test,2024-01-16,2024-01-18,2,5563.26
Drill Bit,EQP-1072,Medium,TASK-99508,Filter change,2024-07-29,2024-07-30,1,7749.73
Wellhead,EQP-1060,Low,TASK-80227,Sensor replacement,2023-04-09,2023-04-18,9,4824.33
Casing Pipe,EQP-1062,Low,TASK-61421,Overhaul,2024-05-14,2024-05-16,2,9682.08
Coiled Tubing Unit,EQP-1069,Medium,TASK-38898,Filter change,2025-01-22,2025-01-29,7,1150.0
Gas Lift Valve,EQP-1055,Low,TASK-37981,Leak test,2023-03-21,2023-03-25,4,2365.78
Separator,EQP-1081,Medium,TASK-60966,Valve check,2025-01-30,2025-02-06,7,4424.47
Choke Valve,EQP-1018,Medium,TASK-16075,Lubrication,2024-02-17,2024-02-24,7,2390.58
Desander,EQP-1070,Medium,TASK-62026,Calibration,2023-07-07,2023-07-13,6,3930.87
Wellhead,EQP-1066,Low,TASK-49824,Leak test,2025-01-02,2025-01-11,9,6740.88
Separator,EQP-1032,Medium,TASK-14463,Overhaul,2023-08-06,2023-08-09,3,5961.67
Storage Tank,EQP-1001,Medium,TASK-30139,Sensor replacement,2024-11-20,2024-11-30,10,8668.85
Separator,EQP-1040,Low,TASK-91704,Calibration,2025-03-07,2025-03-09,2,924.79
Mud Motor,EQP-1011,High,TASK-16971,Routine inspection,2024-06-17,2024-06-19,2,9203.44
Coiled Tubing Unit,EQP-1010,Medium,TASK-92198,Overhaul,2023-05-02,2023-05-12,10,8007.1
Mud Motor,EQP-1017,High,TASK-66750,Valve check,2023-10-13,2023-10-15,2,3817.04
Drill Bit,EQP-1054,Low,TASK-48057,Seal replacement,2024-05-09,2024-05-17,8,8066.93
Desander,EQP-1033,Medium,TASK-32911,Filter change,2024-10-25,2024-10-26,1,8077.83
Desander,EQP-1023,Medium,TASK-96227,Filter change,2024-01-18,2024-01-25,7,9372.85
Oil Pump,EQP-1014,High,TASK-69766,Valve check,2025-02-20,2025-03-02,10,3944.16
Mud Motor,EQP-1003,Medium,TASK-17939,Lubrication,2024-06-17,2024-06-24,7,4696.71
Choke Valve,EQP-1041,Low,TASK-24120,Filter change,2024-03-23,2024-04-01,9,8265.47
Separator,EQP-1062,High,TASK-48469,Valve check,2024-11-09,2024-11-12,3,2532.67
Heat Exchanger,EQP-1038,High,TASK-95036,Overhaul,2023-10-07,2023-10-08,1,9121.26
Heat Exchanger,EQP-1084,High,TASK-91108,Seal replacement,2023-12-08,2023-12-10,2,3971.48
Production Tubing,EQP-1064,Low,TASK-90249,Filter change,2023-01-03,2023-01-08,5,2861.14
Mud Motor,EQP-1022,Medium,TASK-31107,Filter change,2024-12-10,2024-12-12,2,6283.04
Casing Pipe,EQP-1014,High,TASK-20836,Overhaul,2024-05-08,2024-05-12,4,1460.93
Gas Lift Valve,EQP-1090,Medium,TASK-16323,Calibration,2024-02-21,2024-03-01,9,4154.48
Mud Motor,EQP-1065,Medium,TASK-35368,Filter change,2024-02-14,2024-02-19,5,797.05
Separator,EQP-1008,Medium,TASK-58866,Sensor replacement,2023-08-20,2023-08-22,2,3699.32
Mud Motor,EQP-1083,Low,TASK-84841,Overhaul,2024-05-27,2024-05-30,3,5365.96
Wellhead,EQP-1098,Low,TASK-93696,Pressure test,2024-04-12,2024-04-19,7,8916.68
Compressor,EQP-1005,High,TASK-35965,Overhaul,2023-03-06,2023-03-09,3,7670.44
